PDG	Ctau	Acceptance	StatError
6001113	0.35	0.9032		0.0216
6001113	0.7	0.8941		0.0168
6001113	1.4	0.8796		0.0129
6001113	2.1	0.8726		0.0110
6001113	2.8	0.8687		0.0099
6001113	3.5	0.8662		0.0090
6001113	7	0.8617		0.0069
6001113	14	0.8603		0.0052
6001113	21	0.8596		0.0046
6001113	28	0.8589		0.0043
6001113	35	0.8584		0.0042
6001113	70	0.8591		0.0058
6001113	140	0.8702		0.0152
6001113	210	0.8805		0.0226
6001113	280	0.8874		0.0267
6001113	350	0.8921		0.0292
6001113	700	0.9027		0.0336
6001113	1400	0.9085		0.0354
6001113	2100	0.9105		0.0359
6001113	2800	0.9115		0.0361
6001113	3500	0.9121		0.0362
6002113	3.5	0.8782		0.0249
6002113	7	0.8685		0.0197
6002113	14	0.8665		0.0145
6002113	21	0.8637		0.0119
6002113	28	0.8609		0.0104
6002113	35	0.8586		0.0094
6002113	70	0.8532		0.0070
6002113	140	0.8384		0.0054
6002113	210	0.8006		0.0049
6002113	280	0.7521		0.0051
6002113	350	0.7027		0.0055
6002113	700	0.5179		0.0090
6002113	1400	0.3655		0.0155
6002113	2100	0.3083		0.0187
6002113	2800	0.2796		0.0204
6002113	3500	0.2624		0.0214
6002113	7000	0.2289		0.0231
6002113	1.4e+04	0.2126		0.0238
6002113	2.1e+04	0.2072		0.0240
6002113	2.8e+04	0.2046		0.0241
6002113	3.5e+04	0.2030		0.0242
6003113	35	0.7968		0.0336
6003113	70	0.8073		0.0249
6003113	140	0.8072		0.0173
6003113	210	0.7737		0.0141
6003113	280	0.7271		0.0126
6003113	350	0.6787		0.0118
6003113	700	0.4893		0.0102
6003113	1400	0.3070		0.0077
6003113	2100	0.2246		0.0061
6003113	2800	0.1777		0.0050
6003113	3500	0.1474		0.0043
6003113	7000	0.0800		0.0031
6003113	1.4e+04	0.0415		0.0058
6003113	2.1e+04	0.0290		0.0066
6003113	2.8e+04	0.0234		0.0065
6003113	3.5e+04	0.0204		0.0064
6003113	7e+04	0.0149		0.0058
6003113	1.4e+05	0.0126		0.0053
6003113	2.1e+05	0.0119		0.0052
6003113	2.8e+05	0.0115		0.0051
6003113	3.5e+05	0.0113		0.0050
