PDG	Ctau	Acceptance	StatError
6001113	0.2	0.2040		0.1937
6001113	0.4	0.1850		0.1368
6001113	0.8	0.2084		0.0750
6001113	1.2	0.2364		0.0529
6001113	1.6	0.2529		0.0416
6001113	2	0.2619		0.0345
6001113	4	0.2745		0.0188
6001113	8	0.2785		0.0104
6001113	12	0.2797		0.0080
6001113	16	0.2804		0.0070
6001113	20	0.2813		0.0068
6001113	40	0.2939		0.0174
6001113	80	0.3086		0.0579
6001113	120	0.3099		0.0801
6001113	160	0.3090		0.0920
6001113	200	0.3080		0.0991
6001113	400	0.3048		0.1131
6001113	800	0.3026		0.1198
6001113	1200	0.3018		0.1219
6001113	1600	0.3014		0.1230
6001113	2000	0.3011		0.1236
6002113	2	0.0310		0.0251
6002113	4	0.1305		0.0671
6002113	8	0.2227		0.0607
6002113	12	0.2518		0.0461
6002113	16	0.2647		0.0370
6002113	20	0.2720		0.0311
6002113	40	0.2837		0.0183
6002113	80	0.2722		0.0105
6002113	120	0.2511		0.0078
6002113	160	0.2308		0.0066
6002113	200	0.2134		0.0059
6002113	400	0.1532		0.0116
6002113	800	0.0681		0.0337
6002113	1200	0.0391		0.0270
6002113	1600	0.0283		0.0217
6002113	2000	0.0230		0.0186
6002113	4000	0.0150		0.0132
6002113	8000	0.0121		0.0109
6002113	1.2e+04	0.0112		0.0102
6002113	1.6e+04	0.0108		0.0099
6002113	2e+04	0.0106		0.0097
6003113	20	0.0665		0.0474
6003113	40	0.2211		0.0867
6003113	80	0.2818		0.0666
6003113	120	0.2755		0.0513
6003113	160	0.2594		0.0409
6003113	200	0.2414		0.0336
6003113	400	0.1681		0.0168
6003113	800	0.0987		0.0075
6003113	1200	0.0695		0.0046
6003113	1600	0.0540		0.0033
6003113	2000	0.0445		0.0026
6003113	4000	0.0270		0.0034
6003113	8000	0.0214		0.0084
6003113	1.2e+04	0.0200		0.0107
6003113	1.6e+04	0.0193		0.0117
6003113	2e+04	0.0188		0.0123
6003113	4e+04	0.0179		0.0132
6003113	8e+04	0.0173		0.0136
6003113	1.2e+05	0.0172		0.0137
6003113	1.6e+05	0.0171		0.0138
6003113	2e+05	0.0170		0.0138
