PDG	Ctau	Acceptance	StatError
6001113	0.04	0.9440		0.0566
6001113	0.08	0.8654		0.0879
6001113	0.16	0.8280		0.0718
6001113	0.24	0.8140		0.0569
6001113	0.32	0.8062		0.0463
6001113	0.4	0.8015		0.0387
6001113	0.8	0.7925		0.0213
6001113	1.6	0.7880		0.0121
6001113	2.4	0.7867		0.0092
6001113	3.2	0.7873		0.0081
6001113	4	0.7884		0.0077
6001113	8	0.7975		0.0174
6001113	16	0.8126		0.0484
6001113	24	0.8194		0.0628
6001113	32	0.8228		0.0701
6001113	40	0.8249		0.0745
6001113	80	0.8290		0.0828
6001113	160	0.8310		0.0868
6001113	240	0.8317		0.0881
6001113	320	0.8320		0.0887
6001113	400	0.8322		0.0891
6002113	0.4	0.6586		0.2532
6002113	0.8	0.6880		0.1800
6002113	1.6	0.7360		0.1105
6002113	2.4	0.7610		0.0766
6002113	3.2	0.7762		0.0574
6002113	4	0.7858		0.0454
6002113	8	0.7977		0.0219
6002113	16	0.7713		0.0119
6002113	24	0.7210		0.0094
6002113	32	0.6654		0.0087
6002113	40	0.6121		0.0087
6002113	80	0.3813		0.0380
6002113	160	0.1231		0.0641
6002113	240	0.0652		0.0435
6002113	320	0.0461		0.0334
6002113	400	0.0373		0.0281
6002113	800	0.0241		0.0194
6002113	1600	0.0194		0.0160
6002113	2400	0.0181		0.0150
6002113	3200	0.0174		0.0145
6002113	4000	0.0170		0.0142
6003113	4	0.7421		0.2163
6003113	8	0.7355		0.1638
6003113	16	0.7382		0.0940
6003113	24	0.7012		0.0655
6003113	32	0.6504		0.0512
6003113	40	0.5996		0.0427
6003113	80	0.4148		0.0234
6003113	160	0.2482		0.0112
6003113	240	0.1771		0.0070
6003113	320	0.1390		0.0051
6003113	400	0.1154		0.0042
6003113	800	0.0683		0.0042
6003113	1600	0.0484		0.0073
6003113	2400	0.0429		0.0088
6003113	3200	0.0404		0.0095
6003113	4000	0.0389		0.0099
6003113	8000	0.0361		0.0107
6003113	1.6e+04	0.0348		0.0111
6003113	2.4e+04	0.0344		0.0112
6003113	3.2e+04	0.0342		0.0112
6003113	4e+04	0.0340		0.0113
