PDG	Ctau	Acceptance	StatError
6001113	0.08	0.2814		0.1693
6001113	0.16	0.3415		0.1400
6001113	0.32	0.4499		0.0966
6001113	0.48	0.5068		0.0705
6001113	0.64	0.5345		0.0548
6001113	0.8	0.5486		0.0448
6001113	1.6	0.5627		0.0237
6001113	3.2	0.5578		0.0133
6001113	4.8	0.5556		0.0102
6001113	6.4	0.5558		0.0089
6001113	8	0.5574		0.0086
6001113	16	0.5568		0.0240
6001113	32	0.5043		0.0801
6001113	48	0.4683		0.1057
6001113	64	0.4476		0.1178
6001113	80	0.4345		0.1246
6001113	160	0.4076		0.1365
6001113	320	0.3939		0.1415
6001113	480	0.3893		0.1431
6001113	640	0.3870		0.1438
6001113	800	0.3856		0.1443
6002113	0.8	0.4322		0.3628
6002113	1.6	0.4638		0.2472
6002113	3.2	0.5179		0.1207
6002113	4.8	0.5321		0.0744
6002113	6.4	0.5380		0.0547
6002113	8	0.5417		0.0440
6002113	16	0.5495		0.0238
6002113	32	0.5433		0.0134
6002113	48	0.5213		0.0101
6002113	64	0.4915		0.0087
6002113	80	0.4600		0.0082
6002113	160	0.3313		0.0178
6002113	320	0.2047		0.0483
6002113	480	0.1586		0.0547
6002113	640	0.1373		0.0555
6002113	800	0.1252		0.0552
6002113	1600	0.1034		0.0530
6002113	3200	0.0936		0.0513
6002113	4800	0.0905		0.0506
6002113	6400	0.0890		0.0503
6002113	8000	0.0881		0.0501
6003113	8	0.3369		0.1791
6003113	16	0.4442		0.1527
6003113	32	0.5291		0.1028
6003113	48	0.5295		0.0703
6003113	64	0.5039		0.0523
6003113	80	0.4737		0.0418
6003113	160	0.3504		0.0217
6003113	320	0.2193		0.0105
6003113	480	0.1555		0.0066
6003113	640	0.1192		0.0048
6003113	800	0.0962		0.0038
6003113	1600	0.0503		0.0032
6003113	3200	0.0311		0.0041
6003113	4800	0.0260		0.0045
6003113	6400	0.0237		0.0046
6003113	8000	0.0224		0.0047
6003113	1.6e+04	0.0200		0.0048
6003113	3.2e+04	0.0189		0.0049
6003113	4.8e+04	0.0186		0.0049
6003113	6.4e+04	0.0184		0.0049
6003113	8e+04	0.0183		0.0049
