PDG	Ctau	Acceptance	StatError
6001113	0.4	0.7170		0.0380
6001113	0.8	0.7147		0.0277
6001113	1.6	0.7208		0.0197
6001113	2.4	0.7215		0.0160
6001113	3.2	0.7204		0.0139
6001113	4	0.7192		0.0125
6001113	8	0.7170		0.0090
6001113	16	0.7182		0.0067
6001113	24	0.7199		0.0059
6001113	32	0.7216		0.0055
6001113	40	0.7230		0.0053
6001113	80	0.6976		0.0240
6001113	160	0.5103		0.1298
6001113	240	0.3900		0.1567
6001113	320	0.3281		0.1573
6001113	400	0.2926		0.1536
6001113	800	0.2278		0.1389
6001113	1600	0.1994		0.1292
6001113	2400	0.1905		0.1257
6001113	3200	0.1862		0.1240
6001113	4000	0.1836		0.1229
6002113	4	0.7140		0.0408
6002113	8	0.7178		0.0280
6002113	16	0.7170		0.0193
6002113	24	0.7153		0.0158
6002113	32	0.7145		0.0138
6002113	40	0.7144		0.0124
6002113	80	0.7147		0.0090
6002113	160	0.7001		0.0068
6002113	240	0.6647		0.0061
6002113	320	0.6214		0.0059
6002113	400	0.5781		0.0059
6002113	800	0.4176		0.0087
6002113	1600	0.2842		0.0172
6002113	2400	0.2343		0.0210
6002113	3200	0.2095		0.0226
6002113	4000	0.1949		0.0234
6002113	8000	0.1666		0.0245
6002113	1.6e+04	0.1532		0.0248
6002113	2.4e+04	0.1488		0.0249
6002113	3.2e+04	0.1466		0.0249
6002113	4e+04	0.1453		0.0249
6003113	40	0.6503		0.0411
6003113	80	0.6628		0.0289
6003113	160	0.6630		0.0203
6003113	240	0.6386		0.0167
6003113	320	0.6032		0.0147
6003113	400	0.5655		0.0134
6003113	800	0.4138		0.0103
6003113	1600	0.2627		0.0074
6003113	2400	0.1921		0.0057
6003113	3200	0.1516		0.0047
6003113	4000	0.1253		0.0040
6003113	8000	0.0677		0.0025
6003113	1.6e+04	0.0381		0.0022
6003113	2.4e+04	0.0292		0.0022
6003113	3.2e+04	0.0251		0.0022
6003113	4e+04	0.0228		0.0022
6003113	8e+04	0.0186		0.0021
6003113	1.6e+05	0.0166		0.0020
6003113	2.4e+05	0.0160		0.0020
6003113	3.2e+05	0.0157		0.0019
6003113	4e+05	0.0155		0.0019
