Mass	TransverseMass	Lxy	d0/sigmaL	d0/sigmaH	eventWeight	Run	Lumi	Event
328.687	653.5	8.91381	-7.59243	-9.51619	1	194479	17	22059229
712.464	1763.68	11.3141	-17.3971	-6.79587	1	194643	231	292734143
328.103	474.445	8.56604	-11.2212	-7.20294	1	195266	311	476667618
355.232	1237.27	6.2152	-5.52224	-14.5252	1	196433	16	8249354
78.0058	129.814	25.1212	-4.53743	-12.4151	1	195530	567	759205656
229.614	385.199	15.2075	-14.709	-11.695	1	195915	816	1124310169
164.333	236.666	20.5704	-13.3982	-4.64014	1	196197	286	431286215
282.795	1117.12	7.55365	-4.01486	-15.3532	1	194115	365	344916972
