PDG	Ctau	Acceptance	StatError
6001113	0.04	0.0981		0.1071
6001113	0.08	0.1608		0.1008
6001113	0.16	0.1725		0.0606
6001113	0.24	0.1677		0.0436
6001113	0.32	0.1675		0.0336
6001113	0.4	0.1702		0.0270
6001113	0.8	0.1826		0.0139
6001113	1.6	0.1841		0.0079
6001113	2.4	0.1824		0.0061
6001113	3.2	0.1815		0.0053
6001113	4	0.1814		0.0051
6001113	8	0.1904		0.0165
6001113	16	0.2214		0.0718
6001113	24	0.2400		0.1045
6001113	32	0.2505		0.1226
6001113	40	0.2571		0.1338
6001113	80	0.2707		0.1566
6001113	160	0.2776		0.1680
6001113	240	0.2800		0.1718
6001113	320	0.2811		0.1737
6001113	400	0.2818		0.1748
6002113	0.4	0.3639		0.3124
6002113	0.8	0.2858		0.1771
6002113	1.6	0.2438		0.0770
6002113	2.4	0.2215		0.0478
6002113	3.2	0.2054		0.0351
6002113	4	0.1944		0.0279
6002113	8	0.1726		0.0140
6002113	16	0.1680		0.0077
6002113	24	0.1703		0.0058
6002113	32	0.1722		0.0051
6002113	40	0.1735		0.0049
6002113	80	0.1808		0.0092
6002113	160	0.1895		0.0201
6002113	240	0.1924		0.0257
6002113	320	0.1936		0.0288
6002113	400	0.1942		0.0307
6002113	800	0.1953		0.0348
6002113	1600	0.1956		0.0369
6002113	2400	0.1957		0.0376
6002113	3200	0.1957		0.0379
6002113	4000	0.1958		0.0382
6003113	4	0.0420		0.0311
6003113	8	0.0978		0.0499
6003113	16	0.1436		0.0459
6003113	24	0.1606		0.0370
6003113	32	0.1680		0.0301
6003113	40	0.1715		0.0251
6003113	80	0.1761		0.0140
6003113	160	0.1692		0.0079
6003113	240	0.1471		0.0058
6003113	320	0.1235		0.0046
6003113	400	0.1034		0.0039
6003113	800	0.0516		0.0025
6003113	1600	0.0260		0.0023
6003113	2400	0.0192		0.0022
6003113	3200	0.0162		0.0021
6003113	4000	0.0145		0.0020
6003113	8000	0.0115		0.0019
6003113	1.6e+04	0.0102		0.0018
6003113	2.4e+04	0.0098		0.0017
6003113	3.2e+04	0.0096		0.0017
6003113	4e+04	0.0095		0.0017
