PDG	Ctau	Acceptance	StatError
6001113	0.5	0.0000		0.0000
6001113	1	0.0000		0.0000
6001113	2	0.0006		0.0004
6001113	3	0.0023		0.0014
6001113	4	0.0042		0.0023
6001113	5	0.0055		0.0028
6001113	10	0.0071		0.0027
6001113	20	0.0062		0.0016
6001113	30	0.0059		0.0011
6001113	40	0.0058		0.0010
6001113	50	0.0057		0.0009
6001113	100	0.0046		0.0009
6001113	200	0.0025		0.0010
6001113	300	0.0016		0.0009
6001113	400	0.0013		0.0008
6001113	500	0.0011		0.0007
6001113	1000	0.0008		0.0006
6001113	2000	0.0006		0.0005
6001113	3000	0.0006		0.0005
6001113	4000	0.0006		0.0005
6001113	5000	0.0006		0.0005
6002113	5	0.0000		0.0000
6002113	10	0.0000		0.0000
6002113	20	0.0001		0.0001
6002113	30	0.0008		0.0005
6002113	40	0.0017		0.0010
6002113	50	0.0025		0.0014
6002113	100	0.0041		0.0018
6002113	200	0.0042		0.0012
6002113	300	0.0043		0.0009
6002113	400	0.0044		0.0008
6002113	500	0.0044		0.0008
6002113	1000	0.0038		0.0010
6002113	2000	0.0027		0.0010
6002113	3000	0.0022		0.0009
6002113	4000	0.0020		0.0008
6002113	5000	0.0019		0.0008
6002113	1e+04	0.0016		0.0007
6002113	2e+04	0.0015		0.0007
6002113	3e+04	0.0014		0.0007
6002113	4e+04	0.0014		0.0007
6002113	5e+04	0.0014		0.0007
6003113	50	0.0010		0.0012
6003113	100	0.0082		0.0070
6003113	200	0.0167		0.0107
6003113	300	0.0170		0.0099
6003113	400	0.0153		0.0085
6003113	500	0.0135		0.0071
6003113	1000	0.0078		0.0034
6003113	2000	0.0039		0.0014
6003113	3000	0.0025		0.0008
6003113	4000	0.0018		0.0006
6003113	5000	0.0014		0.0004
6003113	1e+04	0.0006		0.0002
6003113	2e+04	0.0002		0.0001
6003113	3e+04	0.0002		0.0001
6003113	4e+04	0.0001		0.0001
6003113	5e+04	0.0001		0.0000
6003113	1e+05	0.0001		0.0000
6003113	2e+05	0.0001		0.0000
6003113	3e+05	0.0001		0.0000
6003113	4e+05	0.0001		0.0000
6003113	5e+05	0.0001		0.0000
