PDG	Ctau	Acceptance	StatError
6001113	0.4	0.7479		0.0353
6001113	0.8	0.7429		0.0259
6001113	1.6	0.7345		0.0185
6001113	2.4	0.7304		0.0153
6001113	3.2	0.7287		0.0134
6001113	4	0.7282		0.0121
6001113	8	0.7288		0.0089
6001113	16	0.7297		0.0066
6001113	24	0.7303		0.0058
6001113	32	0.7306		0.0054
6001113	40	0.7305		0.0053
6001113	80	0.7268		0.0113
6001113	160	0.7267		0.0436
6001113	240	0.7308		0.0637
6001113	320	0.7341		0.0749
6001113	400	0.7366		0.0816
6001113	800	0.7424		0.0947
6001113	1600	0.7458		0.1009
6001113	2400	0.7470		0.1029
6001113	3200	0.7476		0.1039
6001113	4000	0.7480		0.1045
6002113	4	0.7526		0.0393
6002113	8	0.7464		0.0263
6002113	16	0.7352		0.0183
6002113	24	0.7302		0.0151
6002113	32	0.7281		0.0133
6002113	40	0.7270		0.0120
6002113	80	0.7251		0.0089
6002113	160	0.7220		0.0067
6002113	240	0.7201		0.0059
6002113	320	0.7192		0.0055
6002113	400	0.7191		0.0054
6002113	800	0.7301		0.0079
6002113	1600	0.7637		0.0179
6002113	2400	0.7838		0.0234
6002113	3200	0.7956		0.0263
6002113	4000	0.8030		0.0280
6002113	8000	0.8188		0.0311
6002113	1.6e+04	0.8269		0.0325
6002113	2.4e+04	0.8297		0.0329
6002113	3.2e+04	0.8310		0.0331
6002113	4e+04	0.8319		0.0332
6003113	40	0.6694		0.0395
6003113	80	0.6801		0.0285
6003113	160	0.6891		0.0203
6003113	240	0.6947		0.0165
6003113	320	0.6989		0.0143
6003113	400	0.7022		0.0128
6003113	800	0.7106		0.0091
6003113	1600	0.7001		0.0068
6003113	2400	0.6664		0.0060
6003113	3200	0.6250		0.0058
6003113	4000	0.5833		0.0059
6003113	8000	0.4267		0.0081
6003113	1.6e+04	0.2979		0.0126
6003113	2.4e+04	0.2504		0.0143
6003113	3.2e+04	0.2269		0.0150
6003113	4e+04	0.2130		0.0153
6003113	8e+04	0.1859		0.0158
6003113	1.6e+05	0.1729		0.0160
6003113	2.4e+05	0.1686		0.0160
6003113	3.2e+05	0.1665		0.0160
6003113	4e+05	0.1653		0.0160
