PDG	Ctau	Acceptance	StatError
6001113	0.5	0.0887		0.0239
6001113	1	0.0882		0.0168
6001113	2	0.0852		0.0119
6001113	3	0.0840		0.0097
6001113	4	0.0835		0.0084
6001113	5	0.0833		0.0076
6001113	10	0.0823		0.0055
6001113	20	0.0807		0.0041
6001113	30	0.0798		0.0035
6001113	40	0.0794		0.0033
6001113	50	0.0794		0.0032
6001113	100	0.0821		0.0064
6001113	200	0.0890		0.0213
6001113	300	0.0931		0.0308
6001113	400	0.0955		0.0365
6001113	500	0.0971		0.0401
6001113	1000	0.1003		0.0477
6001113	2000	0.1020		0.0516
6001113	3000	0.1025		0.0529
6001113	4000	0.1028		0.0536
6001113	5000	0.1030		0.0540
6002113	5	0.1060		0.0238
6002113	10	0.1054		0.0181
6002113	20	0.0979		0.0132
6002113	30	0.0940		0.0107
6002113	40	0.0919		0.0092
6002113	50	0.0908		0.0082
6002113	100	0.0880		0.0058
6002113	200	0.0855		0.0042
6002113	300	0.0840		0.0037
6002113	400	0.0828		0.0034
6002113	500	0.0816		0.0033
6002113	1000	0.0758		0.0040
6002113	2000	0.0685		0.0061
6002113	3000	0.0649		0.0071
6002113	4000	0.0630		0.0077
6002113	5000	0.0618		0.0081
6002113	1e+04	0.0592		0.0087
6002113	2e+04	0.0578		0.0091
6002113	3e+04	0.0573		0.0092
6002113	4e+04	0.0571		0.0092
6002113	5e+04	0.0570		0.0093
6003113	50	0.0889		0.0234
6003113	100	0.0839		0.0167
6003113	200	0.0811		0.0118
6003113	300	0.0812		0.0096
6003113	400	0.0816		0.0083
6003113	500	0.0817		0.0075
6003113	1000	0.0798		0.0055
6003113	2000	0.0712		0.0040
6003113	3000	0.0623		0.0033
6003113	4000	0.0547		0.0029
6003113	5000	0.0484		0.0026
6003113	1e+04	0.0303		0.0017
6003113	2e+04	0.0187		0.0013
6003113	3e+04	0.0148		0.0013
6003113	4e+04	0.0130		0.0013
6003113	5e+04	0.0120		0.0012
6003113	1e+05	0.0100		0.0012
6003113	2e+05	0.0091		0.0012
6003113	3e+05	0.0088		0.0012
6003113	4e+05	0.0087		0.0012
6003113	5e+05	0.0086		0.0012
