PDG	Ctau	Acceptance	StatError
6001113	0.04	0.7411		0.0421
6001113	0.08	0.7733		0.0277
6001113	0.16	0.7922		0.0183
6001113	0.24	0.7970		0.0145
6001113	0.32	0.7986		0.0124
6001113	0.4	0.7994		0.0111
6001113	0.8	0.8000		0.0079
6001113	1.6	0.7980		0.0059
6001113	2.4	0.7958		0.0052
6001113	3.2	0.7941		0.0049
6001113	4	0.7929		0.0048
6001113	8	0.7903		0.0074
6001113	16	0.7902		0.0199
6001113	24	0.7913		0.0285
6001113	32	0.7924		0.0337
6001113	40	0.7933		0.0372
6001113	80	0.7955		0.0445
6001113	160	0.7968		0.0484
6001113	240	0.7973		0.0497
6001113	320	0.7976		0.0504
6001113	400	0.7978		0.0508
6002113	0.4	0.8178		0.0306
6002113	0.8	0.8079		0.0231
6002113	1.6	0.8004		0.0168
6002113	2.4	0.7978		0.0140
6002113	3.2	0.7967		0.0123
6002113	4	0.7960		0.0111
6002113	8	0.7935		0.0081
6002113	16	0.7907		0.0060
6002113	24	0.7890		0.0053
6002113	32	0.7876		0.0049
6002113	40	0.7866		0.0049
6002113	80	0.7886		0.0067
6002113	160	0.8048		0.0133
6002113	240	0.8163		0.0176
6002113	320	0.8235		0.0203
6002113	400	0.8283		0.0219
6002113	800	0.8390		0.0254
6002113	1600	0.8448		0.0271
6002113	2400	0.8468		0.0276
6002113	3200	0.8478		0.0279
6002113	4000	0.8484		0.0281
6003113	4	0.7732		0.0365
6003113	8	0.7818		0.0256
6003113	16	0.7856		0.0176
6003113	24	0.7872		0.0143
6003113	32	0.7882		0.0125
6003113	40	0.7887		0.0112
6003113	80	0.7867		0.0082
6003113	160	0.7613		0.0062
6003113	240	0.7124		0.0057
6003113	320	0.6575		0.0057
6003113	400	0.6054		0.0059
6003113	800	0.4209		0.0091
6003113	1600	0.2673		0.0176
6003113	2400	0.2107		0.0200
6003113	3200	0.1833		0.0206
6003113	4000	0.1674		0.0207
6003113	8000	0.1374		0.0203
6003113	1.6e+04	0.1235		0.0198
6003113	2.4e+04	0.1190		0.0196
6003113	3.2e+04	0.1169		0.0195
6003113	4e+04	0.1155		0.0194
