PDG	Ctau	Acceptance	StatError
6001113	0.07	0.0000		0.0000
6001113	0.14	0.0001		0.0001
6001113	0.28	0.0034		0.0018
6001113	0.42	0.0112		0.0041
6001113	0.56	0.0196		0.0054
6001113	0.7	0.0265		0.0061
6001113	1.4	0.0417		0.0057
6001113	2.8	0.0468		0.0039
6001113	4.2	0.0478		0.0031
6001113	5.6	0.0478		0.0027
6001113	7	0.0476		0.0026
6001113	14	0.0482		0.0051
6001113	28	0.0493		0.0107
6001113	42	0.0492		0.0131
6001113	56	0.0489		0.0143
6001113	70	0.0487		0.0149
6001113	140	0.0481		0.0162
6001113	280	0.0477		0.0168
6001113	420	0.0476		0.0170
6001113	560	0.0475		0.0171
6001113	700	0.0475		0.0172
6002113	0.7	0.0000		0.0000
6002113	1.4	0.0008		0.0006
6002113	2.8	0.0085		0.0043
6002113	4.2	0.0187		0.0069
6002113	5.6	0.0274		0.0079
6002113	7	0.0339		0.0081
6002113	14	0.0470		0.0064
6002113	28	0.0494		0.0041
6002113	42	0.0481		0.0031
6002113	56	0.0474		0.0027
6002113	70	0.0473		0.0026
6002113	140	0.0470		0.0050
6002113	280	0.0384		0.0106
6002113	420	0.0332		0.0120
6002113	560	0.0304		0.0124
6002113	700	0.0288		0.0125
6002113	1400	0.0255		0.0126
6002113	2800	0.0239		0.0124
6002113	4200	0.0234		0.0124
6002113	5600	0.0232		0.0124
6002113	7000	0.0230		0.0123
6003113	7	0.0000		0.0000
6003113	14	0.0007		0.0006
6003113	28	0.0088		0.0045
6003113	42	0.0197		0.0072
6003113	56	0.0284		0.0081
6003113	70	0.0346		0.0083
6003113	140	0.0462		0.0066
6003113	280	0.0449		0.0041
6003113	420	0.0390		0.0030
6003113	560	0.0329		0.0024
6003113	700	0.0277		0.0020
6003113	1400	0.0128		0.0011
6003113	2800	0.0048		0.0009
6003113	4200	0.0030		0.0007
6003113	5600	0.0023		0.0006
6003113	7000	0.0019		0.0006
6003113	1.4e+04	0.0014		0.0005
6003113	2.8e+04	0.0011		0.0004
6003113	4.2e+04	0.0011		0.0004
6003113	5.6e+04	0.0010		0.0004
6003113	7e+04	0.0010		0.0004
