PDG	Ctau	Acceptance	StatError
6001113	0.35	0.4863		0.4518
6001113	0.7	0.4095		0.2149
6001113	1.4	0.3667		0.0840
6001113	2.1	0.3665		0.0575
6001113	2.8	0.3713		0.0455
6001113	3.5	0.3753		0.0380
6001113	7	0.3797		0.0209
6001113	14	0.3776		0.0117
6001113	21	0.3776		0.0089
6001113	28	0.3775		0.0077
6001113	35	0.3765		0.0074
6001113	70	0.3579		0.0167
6001113	140	0.3231		0.0461
6001113	210	0.3079		0.0597
6001113	280	0.3003		0.0666
6001113	350	0.2958		0.0707
6001113	700	0.2870		0.0786
6001113	1400	0.2828		0.0823
6001113	2100	0.2814		0.0836
6001113	2800	0.2807		0.0842
6001113	3500	0.2803		0.0845
6002113	3.5	0.4658		0.2644
6002113	7	0.4423		0.1466
6002113	14	0.4165		0.0948
6002113	21	0.3968		0.0686
6002113	28	0.3853		0.0519
6002113	35	0.3789		0.0412
6002113	70	0.3689		0.0208
6002113	140	0.3656		0.0115
6002113	210	0.3660		0.0087
6002113	280	0.3677		0.0076
6002113	350	0.3702		0.0073
6002113	700	0.3987		0.0754
6002113	1400	0.4666		0.3636
6002113	2100	0.4807		0.4266
6002113	2800	0.4852		0.4465
6002113	3500	0.4874		0.4556
6002113	7000	0.4907		0.4692
6002113	1.4e+04	0.4919		0.4742
6002113	2.1e+04	0.4923		0.4756
6002113	2.8e+04	0.4925		0.4763
6002113	3.5e+04	0.4926		0.4767
6003113	35	0.4878		0.2658
6003113	70	0.4534		0.1616
6003113	140	0.4143		0.0884
6003113	210	0.3967		0.0618
6003113	280	0.3852		0.0479
6003113	350	0.3770		0.0392
6003113	700	0.3603		0.0209
6003113	1400	0.3422		0.0112
6003113	2100	0.3083		0.0081
6003113	2800	0.2698		0.0066
6003113	3500	0.2342		0.0058
6003113	7000	0.1189		0.0072
6003113	1.4e+04	0.0437		0.0110
6003113	2.1e+04	0.0257		0.0090
6003113	2.8e+04	0.0191		0.0075
6003113	3.5e+04	0.0158		0.0067
6003113	7e+04	0.0106		0.0050
6003113	1.4e+05	0.0086		0.0043
6003113	2.1e+05	0.0081		0.0040
6003113	2.8e+05	0.0078		0.0039
6003113	3.5e+05	0.0076		0.0039
