PDG	Ctau	Acceptance	StatError
6001113	0.1	0.4732		0.3919
6001113	0.2	0.4264		0.2145
6001113	0.4	0.3848		0.1008
6001113	0.6	0.3584		0.0661
6001113	0.8	0.3393		0.0495
6001113	1	0.3262		0.0394
6001113	2	0.3076		0.0194
6001113	4	0.3115		0.0108
6001113	6	0.3137		0.0083
6001113	8	0.3141		0.0072
6001113	10	0.3140		0.0069
6001113	20	0.3267		0.0353
6001113	40	0.3924		0.1898
6001113	60	0.4215		0.2623
6001113	80	0.4345		0.2958
6001113	100	0.4415		0.3143
6001113	200	0.4537		0.3474
6001113	400	0.4590		0.3619
6001113	600	0.4606		0.3664
6001113	800	0.4614		0.3686
6001113	1000	0.4619		0.3699
6002113	1	0.3252		0.2818
6002113	2	0.2806		0.1626
6002113	4	0.2767		0.0845
6002113	6	0.2850		0.0579
6002113	8	0.2916		0.0442
6002113	10	0.2962		0.0359
6002113	20	0.3061		0.0193
6002113	40	0.3103		0.0108
6002113	60	0.3117		0.0083
6002113	80	0.3123		0.0072
6002113	100	0.3124		0.0070
6002113	200	0.2903		0.0330
6002113	400	0.1568		0.0922
6002113	600	0.1070		0.0804
6002113	800	0.0871		0.0710
6002113	1000	0.0768		0.0652
6002113	2000	0.0596		0.0539
6002113	4000	0.0525		0.0487
6002113	6000	0.0504		0.0470
6002113	8000	0.0493		0.0462
6002113	1e+04	0.0487		0.0457
6003113	10	0.3639		0.2142
6003113	20	0.3226		0.1405
6003113	40	0.3104		0.0929
6003113	60	0.3039		0.0662
6003113	80	0.2991		0.0495
6003113	100	0.2957		0.0390
6003113	200	0.2941		0.0190
6003113	400	0.2944		0.0105
6003113	600	0.2742		0.0079
6003113	800	0.2457		0.0066
6003113	1000	0.2174		0.0058
6003113	2000	0.1250		0.0056
6003113	4000	0.0665		0.0095
6003113	6000	0.0489		0.0106
6003113	8000	0.0410		0.0108
6003113	1e+04	0.0367		0.0107
6003113	2e+04	0.0289		0.0103
6003113	4e+04	0.0254		0.0099
6003113	6e+04	0.0243		0.0098
6003113	8e+04	0.0238		0.0097
6003113	1e+05	0.0235		0.0097
