PDG	Ctau	Acceptance	StatError
6001113	0.2	0.0001		0.0001
6001113	0.4	0.0024		0.0017
6001113	0.8	0.0145		0.0077
6001113	1.2	0.0236		0.0101
6001113	1.6	0.0283		0.0101
6001113	2	0.0307		0.0094
6001113	4	0.0356		0.0059
6001113	8	0.0396		0.0036
6001113	12	0.0410		0.0028
6001113	16	0.0417		0.0025
6001113	20	0.0427		0.0025
6001113	40	0.0541		0.0073
6001113	80	0.0666		0.0194
6001113	120	0.0686		0.0248
6001113	160	0.0687		0.0273
6001113	200	0.0685		0.0288
6001113	400	0.0674		0.0314
6001113	800	0.0665		0.0324
6001113	1200	0.0662		0.0328
6001113	1600	0.0660		0.0329
6001113	2000	0.0659		0.0330
6002113	2	0.0007		0.0008
6002113	4	0.0067		0.0064
6002113	8	0.0202		0.0106
6002113	12	0.0303		0.0109
6002113	16	0.0367		0.0105
6002113	20	0.0407		0.0098
6002113	40	0.0470		0.0068
6002113	80	0.0474		0.0041
6002113	120	0.0471		0.0031
6002113	160	0.0473		0.0027
6002113	200	0.0478		0.0026
6002113	400	0.0458		0.0046
6002113	800	0.0236		0.0118
6002113	1200	0.0140		0.0097
6002113	1600	0.0102		0.0079
6002113	2000	0.0084		0.0068
6002113	4000	0.0055		0.0048
6002113	8000	0.0044		0.0040
6002113	1.2e+04	0.0041		0.0037
6002113	1.6e+04	0.0039		0.0036
6002113	2e+04	0.0039		0.0035
6003113	20	0.0103		0.0095
6003113	40	0.0455		0.0267
6003113	80	0.0675		0.0266
6003113	120	0.0699		0.0220
6003113	160	0.0683		0.0181
6003113	200	0.0658		0.0151
6003113	400	0.0561		0.0080
6003113	800	0.0469		0.0042
6003113	1200	0.0391		0.0030
6003113	1600	0.0323		0.0024
6003113	2000	0.0268		0.0020
6003113	4000	0.0127		0.0011
6003113	8000	0.0058		0.0010
6003113	1.2e+04	0.0040		0.0009
6003113	1.6e+04	0.0032		0.0009
6003113	2e+04	0.0028		0.0009
6003113	4e+04	0.0020		0.0008
6003113	8e+04	0.0017		0.0007
6003113	1.2e+05	0.0016		0.0007
6003113	1.6e+05	0.0016		0.0007
6003113	2e+05	0.0016		0.0007
