PDG	Ctau	Acceptance	StatError
6001113	0.04	0.3131		0.2154
6001113	0.08	0.2619		0.1287
6001113	0.16	0.2863		0.0778
6001113	0.24	0.2997		0.0562
6001113	0.32	0.3055		0.0439
6001113	0.4	0.3089		0.0360
6001113	0.8	0.3171		0.0191
6001113	1.6	0.3182		0.0106
6001113	2.4	0.3173		0.0081
6001113	3.2	0.3175		0.0071
6001113	4	0.3184		0.0068
6001113	8	0.3161		0.0165
6001113	16	0.2765		0.0581
6001113	24	0.2484		0.0766
6001113	32	0.2322		0.0844
6001113	40	0.2221		0.0882
6001113	80	0.2012		0.0937
6001113	160	0.1908		0.0953
6001113	240	0.1874		0.0956
6001113	320	0.1857		0.0958
6001113	400	0.1846		0.0959
6002113	0.4	0.0973		0.0840
6002113	0.8	0.2641		0.1119
6002113	1.6	0.3364		0.0748
6002113	2.4	0.3387		0.0554
6002113	3.2	0.3337		0.0437
6002113	4	0.3297		0.0359
6002113	8	0.3266		0.0189
6002113	16	0.3296		0.0105
6002113	24	0.3276		0.0080
6002113	32	0.3238		0.0070
6002113	40	0.3196		0.0066
6002113	80	0.2984		0.0109
6002113	160	0.2703		0.0217
6002113	240	0.2569		0.0269
6002113	320	0.2495		0.0296
6002113	400	0.2449		0.0312
6002113	800	0.2352		0.0345
6002113	1600	0.2303		0.0360
6002113	2400	0.2286		0.0365
6002113	3200	0.2277		0.0368
6002113	4000	0.2272		0.0369
6003113	4	0.4981		0.4036
6003113	8	0.4624		0.2239
6003113	16	0.3853		0.0947
6003113	24	0.3503		0.0589
6003113	32	0.3325		0.0433
6003113	40	0.3226		0.0345
6003113	80	0.3106		0.0180
6003113	160	0.2965		0.0101
6003113	240	0.2627		0.0074
6003113	320	0.2245		0.0060
6003113	400	0.1898		0.0052
6003113	800	0.0933		0.0038
6003113	1600	0.0464		0.0035
6003113	2400	0.0344		0.0033
6003113	3200	0.0293		0.0031
6003113	4000	0.0264		0.0030
6003113	8000	0.0214		0.0028
6003113	1.6e+04	0.0192		0.0027
6003113	2.4e+04	0.0185		0.0026
6003113	3.2e+04	0.0182		0.0026
6003113	4e+04	0.0180		0.0026
