PDG	Ctau	Acceptance	StatError
6001113	0.08	0.2316		0.2225
6001113	0.16	0.1810		0.1478
6001113	0.32	0.1527		0.0679
6001113	0.48	0.1482		0.0407
6001113	0.64	0.1490		0.0295
6001113	0.8	0.1511		0.0236
6001113	1.6	0.1602		0.0131
6001113	3.2	0.1658		0.0076
6001113	4.8	0.1656		0.0058
6001113	6.4	0.1643		0.0051
6001113	8	0.1629		0.0048
6001113	16	0.1550		0.0113
6001113	32	0.1371		0.0333
6001113	48	0.1285		0.0432
6001113	64	0.1240		0.0480
6001113	80	0.1214		0.0508
6001113	160	0.1164		0.0560
6001113	320	0.1139		0.0583
6001113	480	0.1131		0.0591
6001113	640	0.1128		0.0594
6001113	800	0.1125		0.0597
6002113	0.8	0.2620		0.2172
6002113	1.6	0.2478		0.1257
6002113	3.2	0.2221		0.0599
6002113	4.8	0.2077		0.0413
6002113	6.4	0.1985		0.0324
6002113	8	0.1918		0.0269
6002113	16	0.1775		0.0145
6002113	32	0.1737		0.0079
6002113	48	0.1727		0.0060
6002113	64	0.1718		0.0052
6002113	80	0.1712		0.0050
6002113	160	0.1689		0.0104
6002113	320	0.1556		0.0268
6002113	480	0.1461		0.0342
6002113	640	0.1404		0.0378
6002113	800	0.1368		0.0398
6002113	1600	0.1291		0.0433
6002113	3200	0.1251		0.0449
6002113	4800	0.1237		0.0453
6002113	6400	0.1230		0.0456
6002113	8000	0.1226		0.0457
6003113	8	0.2377		0.1473
6003113	16	0.1847		0.0973
6003113	32	0.1642		0.0521
6003113	48	0.1649		0.0354
6003113	64	0.1661		0.0278
6003113	80	0.1669		0.0233
6003113	160	0.1668		0.0135
6003113	320	0.1560		0.0076
6003113	480	0.1398		0.0055
6003113	640	0.1219		0.0045
6003113	800	0.1051		0.0039
6003113	1600	0.0534		0.0029
6003113	3200	0.0235		0.0033
6003113	4800	0.0157		0.0031
6003113	6400	0.0125		0.0029
6003113	8000	0.0108		0.0027
6003113	1.6e+04	0.0080		0.0024
6003113	3.2e+04	0.0068		0.0022
6003113	4.8e+04	0.0064		0.0021
6003113	6.4e+04	0.0062		0.0021
6003113	8e+04	0.0061		0.0020
