PDG	Ctau	Acceptance	StatError
1000022	0.6	0.0005		0.0006
1000022	1.2	0.0176		0.0157
1000022	2.4	0.0952		0.0606
1000022	3.6	0.1534		0.0740
1000022	4.8	0.1894		0.0733
1000022	6	0.2125		0.0681
1000022	12	0.2538		0.0423
1000022	24	0.2597		0.0244
1000022	36	0.2573		0.0185
1000022	48	0.2552		0.0161
1000022	60	0.2543		0.0154
1000022	120	0.2574		0.0253
1000022	240	0.2609		0.0415
1000022	360	0.2617		0.0480
1000022	480	0.2620		0.0513
1000022	600	0.2621		0.0532
1000022	1200	0.2623		0.0572
1000022	2400	0.2623		0.0591
1000022	3600	0.2623		0.0598
1000022	4800	0.2623		0.0601
1000022	6000	0.2623		0.0603
