PDG	Ctau	Acceptance	StatError
1000022	1.6	0.4999		0.4999
1000022	3.2	0.4914		0.4817
1000022	6.4	0.4268		0.3116
1000022	9.6	0.3986		0.1852
1000022	12.8	0.3986		0.1272
1000022	16	0.4032		0.0981
1000022	32	0.4039		0.0505
1000022	64	0.3883		0.0290
1000022	96	0.3850		0.0223
1000022	128	0.3859		0.0195
1000022	160	0.3880		0.0188
1000022	320	0.3989		0.0335
1000022	640	0.4076		0.0682
1000022	960	0.4106		0.0850
1000022	1280	0.4120		0.0942
1000022	1600	0.4128		0.0999
1000022	3200	0.4145		0.1117
1000022	6400	0.4153		0.1177
1000022	9600	0.4155		0.1197
1000022	1.28e+04	0.4157		0.1207
1000022	1.6e+04	0.4158		0.1213
