PDG	Ctau	Acceptance	StatError
1000022	0.6	0.6203		0.0827
1000022	1.2	0.6827		0.0561
1000022	2.4	0.6953		0.0423
1000022	3.6	0.6848		0.0365
1000022	4.8	0.6777		0.0319
1000022	6	0.6734		0.0282
1000022	12	0.6636		0.0179
1000022	24	0.6562		0.0115
1000022	36	0.6539		0.0094
1000022	48	0.6532		0.0086
1000022	60	0.6537		0.0083
1000022	120	0.6748		0.0121
1000022	240	0.7319		0.0238
1000022	360	0.7644		0.0279
1000022	480	0.7830		0.0291
1000022	600	0.7948		0.0295
1000022	1200	0.8197		0.0301
1000022	2400	0.8328		0.0308
1000022	3600	0.8373		0.0313
1000022	4800	0.8396		0.0315
1000022	6000	0.8409		0.0317
