PDG	Ctau	Acceptance	StatError
6001113	0.13	0.0916		0.0254
6001113	0.26	0.0859		0.0173
6001113	0.52	0.0877		0.0120
6001113	0.78	0.0910		0.0100
6001113	1.04	0.0929		0.0088
6001113	1.3	0.0937		0.0080
6001113	2.6	0.0931		0.0059
6001113	5.2	0.0920		0.0044
6001113	7.8	0.0924		0.0039
6001113	10.4	0.0929		0.0036
6001113	13	0.0933		0.0036
6001113	26	0.0982		0.0078
6001113	52	0.1214		0.0336
6001113	78	0.1402		0.0531
6001113	104	0.1528		0.0655
6001113	130	0.1614		0.0738
6001113	260	0.1814		0.0920
6001113	520	0.1927		0.1018
6001113	780	0.1967		0.1052
6001113	1040	0.1987		0.1069
6001113	1300	0.1999		0.1079
6002113	1.3	0.0606		0.0190
6002113	2.6	0.0710		0.0149
6002113	5.2	0.0754		0.0111
6002113	7.8	0.0770		0.0092
6002113	10.4	0.0786		0.0081
6002113	13	0.0800		0.0074
6002113	26	0.0847		0.0056
6002113	52	0.0873		0.0043
6002113	78	0.0876		0.0038
6002113	104	0.0876		0.0036
6002113	130	0.0878		0.0035
6002113	260	0.0884		0.0048
6002113	520	0.0852		0.0080
6002113	780	0.0822		0.0096
6002113	1040	0.0802		0.0105
6002113	1300	0.0788		0.0110
6002113	2600	0.0756		0.0121
6002113	5200	0.0739		0.0127
6002113	7800	0.0733		0.0128
6002113	1.04e+04	0.0730		0.0129
6002113	1.3e+04	0.0728		0.0130
6003113	13	0.0649		0.0229
6003113	26	0.0603		0.0158
6003113	52	0.0607		0.0107
6003113	78	0.0635		0.0087
6003113	104	0.0663		0.0077
6003113	130	0.0687		0.0070
6003113	260	0.0755		0.0053
6003113	520	0.0736		0.0041
6003113	780	0.0661		0.0035
6003113	1040	0.0587		0.0031
6003113	1300	0.0524		0.0028
6003113	2600	0.0337		0.0019
6003113	5200	0.0215		0.0015
6003113	7800	0.0175		0.0014
6003113	1.04e+04	0.0155		0.0014
6003113	1.3e+04	0.0144		0.0014
6003113	2.6e+04	0.0122		0.0014
6003113	5.2e+04	0.0112		0.0014
6003113	7.8e+04	0.0109		0.0013
6003113	1.04e+05	0.0107		0.0013
6003113	1.3e+05	0.0106		0.0013
