PDG	Ctau	Acceptance	StatError
1000022	1.73	0.5064		0.1262
1000022	3.46	0.4513		0.1008
1000022	6.92	0.4518		0.0606
1000022	10.38	0.4565		0.0433
1000022	13.84	0.4591		0.0346
1000022	17.3	0.4602		0.0293
1000022	34.6	0.4591		0.0182
1000022	69.2	0.4585		0.0118
1000022	103.8	0.4611		0.0098
1000022	138.4	0.4626		0.0089
1000022	173	0.4622		0.0087
1000022	346	0.4502		0.0126
1000022	692	0.4318		0.0265
1000022	1038	0.4232		0.0374
1000022	1384	0.4185		0.0451
1000022	1730	0.4156		0.0507
1000022	3460	0.4095		0.0650
1000022	6920	0.4063		0.0741
1000022	1.038e+04	0.4053		0.0774
1000022	1.384e+04	0.4048		0.0792
1000022	1.73e+04	0.4045		0.0803
