PDG	Ctau	Acceptance	StatError
6001113	0.07	0.3652		0.0404
6001113	0.14	0.3297		0.0275
6001113	0.28	0.3105		0.0193
6001113	0.42	0.3061		0.0158
6001113	0.56	0.3050		0.0138
6001113	0.7	0.3049		0.0124
6001113	1.4	0.3053		0.0091
6001113	2.8	0.3047		0.0069
6001113	4.2	0.3036		0.0060
6001113	5.6	0.3025		0.0056
6001113	7	0.3016		0.0055
6001113	14	0.2966		0.0084
6001113	28	0.2855		0.0213
6001113	42	0.2783		0.0298
6001113	56	0.2738		0.0350
6001113	70	0.2709		0.0384
6001113	140	0.2643		0.0456
6001113	280	0.2608		0.0495
6001113	420	0.2595		0.0508
6001113	560	0.2589		0.0514
6001113	700	0.2585		0.0518
6002113	0.7	0.2596		0.0373
6002113	1.4	0.2555		0.0259
6002113	2.8	0.2608		0.0185
6002113	4.2	0.2663		0.0152
6002113	5.6	0.2699		0.0132
6002113	7	0.2723		0.0119
6002113	14	0.2783		0.0088
6002113	28	0.2823		0.0066
6002113	42	0.2838		0.0058
6002113	56	0.2849		0.0055
6002113	70	0.2863		0.0054
6002113	140	0.3088		0.0134
6002113	280	0.3859		0.0526
6002113	420	0.4360		0.0743
6002113	560	0.4656		0.0852
6002113	700	0.4844		0.0914
6002113	1400	0.5236		0.1026
6002113	2800	0.5437		0.1073
6002113	4200	0.5504		0.1087
6002113	5600	0.5538		0.1094
6002113	7000	0.5558		0.1098
6003113	7	0.1961		0.0327
6003113	14	0.2263		0.0239
6003113	28	0.2488		0.0178
6003113	42	0.2597		0.0150
6003113	56	0.2666		0.0132
6003113	70	0.2713		0.0120
6003113	140	0.2804		0.0089
6003113	280	0.2755		0.0067
6003113	420	0.2586		0.0058
6003113	560	0.2382		0.0053
6003113	700	0.2182		0.0049
6003113	1400	0.1463		0.0043
6003113	2800	0.0908		0.0052
6003113	4200	0.0717		0.0055
6003113	5600	0.0626		0.0056
6003113	7000	0.0574		0.0056
6003113	1.4e+04	0.0476		0.0055
6003113	2.8e+04	0.0430		0.0054
6003113	4.2e+04	0.0415		0.0053
6003113	5.6e+04	0.0408		0.0053
6003113	7e+04	0.0404		0.0053
