PDG	Ctau	Acceptance	StatError
6001113	0.2	0.2751		0.0353
6001113	0.4	0.2797		0.0253
6001113	0.8	0.2812		0.0186
6001113	1.2	0.2804		0.0155
6001113	1.6	0.2796		0.0135
6001113	2	0.2789		0.0122
6001113	4	0.2772		0.0088
6001113	8	0.2761		0.0066
6001113	12	0.2757		0.0058
6001113	16	0.2756		0.0054
6001113	20	0.2753		0.0053
6001113	40	0.2716		0.0073
6001113	80	0.2622		0.0140
6001113	120	0.2564		0.0182
6001113	160	0.2529		0.0207
6001113	200	0.2506		0.0223
6001113	400	0.2456		0.0258
6001113	800	0.2429		0.0277
6001113	1200	0.2419		0.0283
6001113	1600	0.2414		0.0287
6001113	2000	0.2412		0.0289
6002113	2	0.2643		0.0399
6002113	4	0.2572		0.0277
6002113	8	0.2654		0.0194
6002113	12	0.2744		0.0160
6002113	16	0.2803		0.0140
6002113	20	0.2838		0.0127
6002113	40	0.2882		0.0092
6002113	80	0.2859		0.0068
6002113	120	0.2831		0.0059
6002113	160	0.2808		0.0055
6002113	200	0.2787		0.0054
6002113	400	0.2670		0.0087
6002113	800	0.2374		0.0241
6002113	1200	0.2182		0.0330
6002113	1600	0.2067		0.0377
6002113	2000	0.1994		0.0404
6002113	4000	0.1837		0.0454
6002113	8000	0.1756		0.0475
6002113	1.2e+04	0.1729		0.0482
6002113	1.6e+04	0.1716		0.0485
6002113	2e+04	0.1707		0.0487
6003113	20	0.2888		0.0394
6003113	40	0.2851		0.0282
6003113	80	0.2872		0.0197
6003113	120	0.2865		0.0160
6003113	160	0.2858		0.0138
6003113	200	0.2856		0.0124
6003113	400	0.2860		0.0089
6003113	800	0.2755		0.0067
6003113	1200	0.2563		0.0058
6003113	1600	0.2352		0.0052
6003113	2000	0.2152		0.0049
6003113	4000	0.1464		0.0042
6003113	8000	0.0956		0.0046
6003113	1.2e+04	0.0781		0.0049
6003113	1.6e+04	0.0696		0.0049
6003113	2e+04	0.0647		0.0049
6003113	4e+04	0.0553		0.0049
6003113	8e+04	0.0509		0.0049
6003113	1.2e+05	0.0494		0.0049
6003113	1.6e+05	0.0487		0.0048
6003113	2e+05	0.0483		0.0048
